Participant,Technique,Trial,Condition,Associated,Response,Response Time,Prompt Time,Travel Time,Objects In Box
,,1,D,FALSE,FALSE,6649 ms,7330 ms,18673 ms, yellow pyramid+magenta cube+grey pole+green block+brown sphere+orange wedge+
,,1,D,TRUE,FALSE,193 ms,7330 ms,18673 ms, yellow pyramid+magenta cube+grey pole+green block+brown sphere+orange wedge+
,,1,D,TRUE,FALSE,181 ms,7330 ms,18673 ms, yellow pyramid+magenta cube+grey pole+green block+brown sphere+orange wedge+
,,1,D,FALSE,FALSE,178 ms,7330 ms,18673 ms, yellow pyramid+magenta cube+grey pole+green block+brown sphere+orange wedge+
,,1,D,TRUE,FALSE,180 ms,7330 ms,18673 ms, yellow pyramid+magenta cube+grey pole+green block+brown sphere+orange wedge+
,,1,D,TRUE,FALSE,166 ms,7330 ms,18673 ms, yellow pyramid+magenta cube+grey pole+green block+brown sphere+orange wedge+
,,1,ND,TRUE,FALSE,7267 ms,4929 ms,16693 ms, blue cube+red sphere+black block+orange wedge+grey cross+magenta pyramid+
,,1,ND,TRUE,FALSE,180 ms,4929 ms,16693 ms, blue cube+red sphere+black block+orange wedge+grey cross+magenta pyramid+
,,1,ND,FALSE,TRUE,111 ms,4929 ms,16693 ms, blue cube+red sphere+black block+orange wedge+grey cross+magenta pyramid+
,,1,ND,FALSE,TRUE,97 ms,4929 ms,16693 ms, blue cube+red sphere+black block+orange wedge+grey cross+magenta pyramid+
,,1,ND,TRUE,TRUE,97 ms,4929 ms,16693 ms, blue cube+red sphere+black block+orange wedge+grey cross+magenta pyramid+
,,1,ND,FALSE,FALSE,166 ms,4929 ms,16693 ms, blue cube+red sphere+black block+orange wedge+grey cross+magenta pyramid+
,,2,ND,TRUE,TRUE,7294 ms,6347 ms,17151 ms, blue pyramid+black cube+white cone+grey disk+brown cross+green wedge+
,,2,ND,TRUE,TRUE,167 ms,6347 ms,17151 ms, blue pyramid+black cube+white cone+grey disk+brown cross+green wedge+
,,2,ND,FALSE,FALSE,83 ms,6347 ms,17151 ms, blue pyramid+black cube+white cone+grey disk+brown cross+green wedge+
,,2,ND,FALSE,TRUE,111 ms,6347 ms,17151 ms, blue pyramid+black cube+white cone+grey disk+brown cross+green wedge+
,,2,ND,FALSE,FALSE,83 ms,6347 ms,17151 ms, blue pyramid+black cube+white cone+grey disk+brown cross+green wedge+
,,2,ND,FALSE,FALSE,194 ms,6347 ms,17151 ms, blue pyramid+black cube+white cone+grey disk+brown cross+green wedge+
,T,1,ND,FALSE,TRUE,3758 ms,9299 ms,18891 ms, magenta disk+yellow cube+black pole+brown cross+white pyramid+red cone+
,T,1,ND,TRUE,TRUE,528 ms,9299 ms,18891 ms, magenta disk+yellow cube+black pole+brown cross+white pyramid+red cone+
,T,1,ND,FALSE,FALSE,417 ms,9299 ms,18891 ms, magenta disk+yellow cube+black pole+brown cross+white pyramid+red cone+
,T,1,ND,FALSE,TRUE,417 ms,9299 ms,18891 ms, magenta disk+yellow cube+black pole+brown cross+white pyramid+red cone+
,T,1,ND,TRUE,FALSE,334 ms,9299 ms,18891 ms, magenta disk+yellow cube+black pole+brown cross+white pyramid+red cone+
,T,1,ND,FALSE,TRUE,376 ms,9299 ms,18891 ms, magenta disk+yellow cube+black pole+brown cross+white pyramid+red cone+
,,1,D,TRUE,TRUE,960 ms,3315 ms,10695 ms, grey ball+white cube+pink pyramid+brown cross+yellow star+black block+
,,1,D,FALSE,TRUE,584 ms,3315 ms,10695 ms, grey ball+white cube+pink pyramid+brown cross+yellow star+black block+
,,1,D,FALSE,TRUE,404 ms,3315 ms,10695 ms, grey ball+white cube+pink pyramid+brown cross+yellow star+black block+
,,1,D,TRUE,FALSE,1086 ms,3315 ms,10695 ms, grey ball+white cube+pink pyramid+brown cross+yellow star+black block+
,,1,D,TRUE,TRUE,654 ms,3315 ms,10695 ms, grey ball+white cube+pink pyramid+brown cross+yellow star+black block+
,,1,D,FALSE,FALSE,612 ms,3315 ms,10695 ms, grey ball+white cube+pink pyramid+brown cross+yellow star+black block+
,,2,ND,FALSE,TRUE,1337 ms,5025 ms,15524 ms, yellow pyramid+black cube+blue ball+orange cone+white disk+red wedge+
,,2,ND,TRUE,TRUE,542 ms,5025 ms,15524 ms, yellow pyramid+black cube+blue ball+orange cone+white disk+red wedge+
,,2,ND,TRUE,FALSE,932 ms,5025 ms,15524 ms, yellow pyramid+black cube+blue ball+orange cone+white disk+red wedge+
,,2,ND,TRUE,TRUE,2310 ms,5025 ms,15524 ms, yellow pyramid+black cube+blue ball+orange cone+white disk+red wedge+
,,2,ND,FALSE,TRUE,1072 ms,5025 ms,15524 ms, yellow pyramid+black cube+blue ball+orange cone+white disk+red wedge+
,,2,ND,FALSE,TRUE,723 ms,5025 ms,15524 ms, yellow pyramid+black cube+blue ball+orange cone+white disk+red wedge+
